ID,CompanyFK,Score,Explanation,RecordedOn,RuleVersion
760,617,66,"Upload more product catalogues; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
761,689,61.25,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
762,722,69,"Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
763,766,59,"Upload more product catalogues; Add more gallery images; Add more case studies; Add more additional contacts; ",2017-11-10 23:00:02.203,1
764,857,65.5,"Upload more product catalogues; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
765,859,74,"Add more gallery images; Add more additional links; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
766,961,80.5,"Add more gallery images; Add more additional links; Add a twitter handle; ",2017-11-10 23:00:02.203,1
767,979,64,"Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
768,1039,40.5,"Upload an overview image; Upload more product catalogues; Add more gallery images; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
769,1052,64.5,"Upload more product catalogues; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
770,1060,65.5,"Upload more product catalogues; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
771,1074,61.5,"Upload more product catalogues; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
772,1083,71.75,"Upload more product catalogues; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
773,1099,58.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
774,1220,59,"Add more gallery images; Add more additional links; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
775,1340,73,"Add more additional links; Add more case studies; ",2017-11-10 23:00:02.203,1
776,1379,64.25,"Upload more product catalogues; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
777,1382,58.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
778,1383,73,"Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
779,1396,55.25,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
780,1458,54,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
781,1486,55,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
782,1558,70,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
783,1605,62.25,"Upload more product catalogues; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
784,1631,65,"Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
785,1638,64.75,"Upload more product catalogues; Add more gallery images; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
786,1661,55,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
787,1784,59.5,"Upload more product catalogues; Add more gallery images; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
788,1821,48.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
789,1847,68,"Upload more product catalogues; Add more additional links; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
790,1866,63,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; ",2017-11-10 23:00:02.203,1
791,1928,67,"Upload an overview image; Add more gallery images; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
792,1985,42,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
793,2029,48.5,"Upload an overview image; Upload more product catalogues; Add more gallery images; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
794,2081,71.25,"Upload more product catalogues; Add more additional links; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
795,2153,63,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; ",2017-11-10 23:00:02.203,1
796,2156,64,"Upload more product catalogues; Add more case studies; Add more additional contacts; ",2017-11-10 23:00:02.203,1
797,2188,79,"Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
798,2195,62,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
799,2246,37.5,"Upload an overview image; Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
800,2274,72,"Upload more product catalogues; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
801,2287,61.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
802,2352,90.75,"Upload more product catalogues; Add more additional links; Add more case studies; Add more additional contacts; ",2017-11-10 23:00:02.203,1
803,2360,47.25,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
804,2364,92.25,"Upload more product catalogues; Add more gallery images; Add a tagline; ",2017-11-10 23:00:02.203,1
805,2470,58,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
806,2511,58.5,"Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
807,2537,56,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
808,2540,63,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
809,2668,83,"Upload more product catalogues; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
810,2674,41.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
811,2686,61,"Upload more product catalogues; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
812,2839,85,"Add more additional links; Add more case studies; ",2017-11-10 23:00:02.203,1
813,2859,61.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
814,2879,67.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a twitter handle; ",2017-11-10 23:00:02.203,1
815,2899,53.25,"Upload more product catalogues; Add more gallery images; Add more additional links; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
816,3099,63.5,"Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
817,3121,56.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
818,3138,60.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
819,3149,55.25,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
820,3199,63,"Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
821,3218,75.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
822,3224,83,"Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
823,3249,48.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
824,3298,48,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
825,3322,93,"Add more case studies; ",2017-11-10 23:00:02.203,1
826,3323,59.75,"Upload more product catalogues; Add more gallery images; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
827,3374,71.5,"Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
828,3386,51,"Upload more product catalogues; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
829,3432,73.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more additional contacts; ",2017-11-10 23:00:02.203,1
830,3436,68.5,"Upload more product catalogues; Add more gallery images; Add more case studies; ",2017-11-10 23:00:02.203,1
831,3460,77.5,"Add more additional links; Add more additional contacts; ",2017-11-10 23:00:02.203,1
832,3468,67.25,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
833,3469,51.25,"Upload more product catalogues; Add more gallery images; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
834,3495,68,"Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
835,3544,93,"Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
836,3565,56.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
837,3585,87,"Upload more product catalogues; Add a tagline; ",2017-11-10 23:00:02.203,1
838,3592,67,"Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
839,3646,59.5,"Upload more product catalogues; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
840,3729,97.5,"Upload more product catalogues; Add more additional links; ",2017-11-10 23:00:02.203,1
841,3735,48,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
842,3743,65,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
843,3746,83,"Add more gallery images; Add more case studies; ",2017-11-10 23:00:02.203,1
844,3781,68,"Add more additional links; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
845,3785,62.25,"Upload more product catalogues; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
846,3797,77,"Upload more product catalogues; Add more additional links; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
847,3831,59.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
848,3857,71.5,"Add more gallery images; Add more additional links; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
849,3897,55,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
850,3905,62,"Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
851,3940,67.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more additional contacts; ",2017-11-10 23:00:02.203,1
852,3981,34.25,"Upload an overview image; Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
853,4019,69.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
854,4209,75.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
855,4281,44.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
856,4316,43,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a twitter handle; ",2017-11-10 23:00:02.203,1
857,4345,72.75,"Upload more product catalogues; Add more additional links; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
858,4373,89.5,"Upload more product catalogues; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
859,4408,31,"Upload an overview image; Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
860,4436,57.25,"Upload more product catalogues; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
861,4454,58.25,"Upload more product catalogues; Add more gallery images; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
862,4477,86.25,"Upload more product catalogues; Add more additional links; Add a tagline; ",2017-11-10 23:00:02.203,1
863,4493,75,"Add more gallery images; Add more case studies; ",2017-11-10 23:00:02.203,1
864,4496,75.5,"Upload more product catalogues; Add more case studies; Add more additional contacts; ",2017-11-10 23:00:02.203,1
865,4561,70.5,"Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
866,4576,83,"Add a tagline; ",2017-11-10 23:00:02.203,1
867,4668,81.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
868,4685,57.25,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
869,4693,41,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
870,4694,26,"Enter a description; Upload an overview image; Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
871,4760,74.75,"Upload more product catalogues; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
872,4770,58.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
873,4943,52.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
874,4944,85,"Add more additional links; Add more case studies; ",2017-11-10 23:00:02.203,1
875,4959,47.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
876,5133,55.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; ",2017-11-10 23:00:02.203,1
877,5147,74.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
878,5288,66.75,"Upload more product catalogues; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
879,5340,43,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; ",2017-11-10 23:00:02.203,1
880,5431,19.25,"Enter a description; Upload an overview image; Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
881,5446,72,"Add more case studies; Add more additional contacts; ",2017-11-10 23:00:02.203,1
882,5477,56,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
883,5517,64.75,"Upload more product catalogues; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
884,5585,52,"Upload more product catalogues; Add more gallery images; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
885,5604,76.5,"Upload more product catalogues; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
886,5687,71.5,"Upload more product catalogues; Add more gallery images; Add more case studies; Add more additional contacts; ",2017-11-10 23:00:02.203,1
887,5737,52,"Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
888,5744,49.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
889,5837,53.25,"Upload more product catalogues; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
890,5838,60.7058823529412,"Upload more product catalogues; Add more gallery images; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
891,5864,78.5,"Add more gallery images; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
892,5970,87,"Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
893,6083,57,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; ",2017-11-10 23:00:02.203,1
894,6194,59.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
895,6218,68.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; ",2017-11-10 23:00:02.203,1
896,6250,67.75,"Upload more product catalogues; Add more additional links; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
897,6259,40,"Upload an overview image; Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
898,6288,54,"Upload an overview image; Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
899,6306,26.5,"Upload an overview image; Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
900,6374,52.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
901,6395,75.05,"Upload more product catalogues; Add more case studies; Add more additional contacts; ",2017-11-10 23:00:02.203,1
902,6466,60.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
903,6487,67.5,"Upload more product catalogues; Add more additional links; Add more case studies; Add a twitter handle; ",2017-11-10 23:00:02.203,1
904,6499,76.75,"Upload more product catalogues; Add more additional contacts; ",2017-11-10 23:00:02.203,1
905,6535,51,"Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
906,6549,91.25,"Upload more product catalogues; Add more additional links; ",2017-11-10 23:00:02.203,1
907,6566,49.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
908,6583,42,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
909,6672,87,"Add more case studies; Add more additional contacts; ",2017-11-10 23:00:02.203,1
910,6693,39.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
911,6697,46.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
912,6708,51,"Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
913,6738,56,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; ",2017-11-10 23:00:02.203,1
914,6768,51.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
915,6790,56,"Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
916,6793,73.5,"Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
917,6830,83,"Add a tagline; ",2017-11-10 23:00:02.203,1
918,6940,51,"Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
919,6965,38.5,"Upload an overview image; Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
920,7041,49.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
921,7050,90.25,"Upload more product catalogues; Add more additional links; Add more additional contacts; ",2017-11-10 23:00:02.203,1
922,7138,37.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
923,7203,56,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
924,7261,64.5,"Upload more product catalogues; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
925,7276,36,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
926,7474,61.25,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
927,7508,46,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a twitter handle; ",2017-11-10 23:00:02.203,1
928,7609,80.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; ",2017-11-10 23:00:02.203,1
929,7611,52,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
930,7736,75.25,"Upload more product catalogues; Add more gallery images; Add more additional links; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
931,7754,63.25,"Upload more product catalogues; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
932,7756,54,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
933,7759,50.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
934,7763,55.25,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
935,7834,56.5,"Upload more product catalogues; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
936,7840,67.25,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
937,7853,40.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
938,7875,83,"Add more gallery images; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
939,7901,56,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
940,7911,69,"Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; ",2017-11-10 23:00:02.203,1
941,7933,68,"Upload more product catalogues; Add more gallery images; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
942,7934,64,"Add more gallery images; Add more additional links; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
943,8065,45.25,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
944,8204,54.75,"Upload an overview image; Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
945,8290,78.5,"Add more additional links; ",2017-11-10 23:00:02.203,1
